School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Conf._W,Conf._L,Home_W,Home_L,Away_W,Away_L,Points_Tm.,Points_Opp.,Totals_MP,Totals_FG,Totals_FGA,Totals_FG%,Totals_3P,Totals_3PA,Totals_3P%,Totals_FT,Totals_FTA,Totals_FT%,Totals_ORB,Totals_TRB,Totals_AST,Totals_STL,Totals_BLK,Totals_TOV,Totals_PF
UC-Riverside,18,11,7,0.611,4.53,-3.58,8,5,5,4,5,3,1283,1137,730,481,1044,0.461,169,432,0.391,152,222,0.685,157,664,258,93,45,222,322
UC-San Diego,15,5,10,0.333,-8.86,1.31,2,10,5,3,0,7,1040,1063,605,379,851,0.445,162,448,0.362,120,181,0.663,89,445,247,95,33,207,203
UC-Santa Barbara,21,17,4,0.81,6.77,-2.6,13,3,9,0,8,4,1603,1317,850,585,1194,0.49,147,405,0.363,286,387,0.739,194,739,351,151,65,235,348
University of California,27,8,19,0.296,1.21,7.02,3,17,6,8,1,11,1763,1889,1080,615,1437,0.428,188,580,0.324,345,498,0.693,221,856,326,120,60,344,476
Campbell,24,15,9,0.625,-7.03,-7.75,11,6,8,3,5,6,1723,1643,975,626,1257,0.498,177,472,0.375,294,436,0.674,143,686,346,150,51,289,418
Canisius,10,6,4,0.6,-7.07,-6.87,6,4,3,1,3,3,697,699,400,237,600,0.395,74,247,0.3,149,208,0.716,105,359,132,54,34,124,179
Central Arkansas,21,4,17,0.19,-15.1,-0.55,3,10,3,4,1,13,1477,1704,840,525,1205,0.436,139,397,0.35,288,407,0.708,208,780,270,101,56,377,383
Central Connecticut State,21,5,16,0.238,-12.78,-3.93,5,13,3,6,2,9,1439,1625,840,522,1230,0.424,150,463,0.324,245,349,0.702,179,664,270,145,54,298,359
Central Florida,19,8,11,0.421,6.49,9.7,6,10,5,3,3,8,1275,1336,765,446,1040,0.429,151,411,0.367,232,319,0.727,185,631,228,125,58,284,332
Central Michigan,21,6,15,0.286,-11.4,-2.52,2,12,4,6,2,9,1611,1677,840,579,1293,0.448,136,414,0.329,317,481,0.659,226,761,228,178,60,292,355
Charleston Southern,21,3,18,0.143,-16.16,-5.66,2,15,1,9,2,8,1375,1550,845,480,1182,0.406,160,506,0.316,255,357,0.714,214,778,217,129,80,346,385
Charlotte,22,9,13,0.409,-5.57,-3.14,5,9,6,7,3,6,1392,1446,905,477,1085,0.44,125,388,0.322,313,423,0.74,146,671,260,118,65,305,324
Chattanooga,25,18,7,0.72,-0.72,-2.59,9,7,9,3,9,4,1835,1738,1010,649,1466,0.443,212,583,0.364,325,413,0.787,207,849,309,169,44,276,358
Chicago State,9,0,9,0,-31.46,1.76,0,0,0,0,0,7,499,798,360,180,497,0.362,51,203,0.251,88,126,0.698,54,234,89,49,13,140,178
